1700
V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Class
Continuous,Continuous,Continuous,Continuous,Continuous,Continuous,Continuous,Continuous,Continuous,Continuous,Nominal
40.0,62.0,-100.0,1296.0,-154.0,1265.0,90.0,-1720.0,-408.2,-408.33432084279474,0
39.95291347851678,62.1094761624485,-99.84696880517951,1296.0282519128898,-155.06297822248382,1263.5785756327252,89.78811065332549,-1719.8587404355503,-409.2719246615656,-404.2466066128794,0
39.90582695703355,62.218952324896996,-99.69393761035903,1296.0565038257798,-156.12595644496764,1262.1571512654502,89.57622130665098,-1719.7174808711006,-410.3438493231312,-400.3150747389802,0
39.858740435550324,62.3284284873455,-99.54090641553854,1296.0847557386696,-157.18893466745146,1260.7357268981752,89.36433195997645,-1719.576221306651,-411.4157739846969,-396.28770251574394,0
39.8116539140671,62.43790464979399,-99.38787522071807,1296.1130076515597,-158.25191288993526,1259.3143025309005,89.15244261330194,-1719.4349617422013,-412.4876986462625,-392.63042158175415,0
39.76456739258387,62.547380812242494,-99.23484402589759,1296.1412595644497,-159.31489111241908,1257.8928781636257,88.94055326662743,-1719.2937021777516,-413.55962330782813,-388.4819185456951,0
39.71748087110065,62.656856974690996,-99.0818128310771,1296.1695114773397,-160.3778693349029,1256.4714537963507,88.72866391995291,-1719.152442613302,-414.63154796939375,-384.286911836548,0
39.670394349617425,62.76633313713949,-98.92878163625662,1296.1977633902295,-161.44084755738672,1255.050029429076,88.5167745732784,-1719.0111830488522,-415.70347263095937,-380.7767919026869,0
39.623307828134195,62.87580929958799,-98.77575044143613,1296.2260153031195,-162.50382577987054,1253.6286050618012,88.30488522660389,-1718.8699234844025,-416.77539729252504,-376.75681477915583,0
39.57622130665097,62.985285462036494,-98.62271924661565,1296.2542672160093,-163.56680400235433,1252.2071806945262,88.09299587992938,-1718.728663919953,-417.84732195409066,-372.5384616992369,0
39.52913478516775,63.09476162448499,-98.46968805179517,1296.2825191288994,-164.62978222483815,1250.7857563272512,87.88110653325485,-1718.5874043555032,-418.9192466156563,-369.45443222910075,0
39.48204826368452,63.20423778693349,-98.3166568569747,1296.3107710417894,-165.69276044732197,1249.3643319599764,87.66921718658034,-1718.4461447910535,-419.9911712772219,-365.25075410289907,0
39.434961742201295,63.31371394938199,-98.1636256621542,1296.3390229546794,-166.7557386698058,1247.9429075927017,87.45732783990583,-1718.3048852266038,-421.0630959387875,-361.6701602390516,0
39.38787522071807,63.423190111830486,-98.01059446733373,1296.3672748675692,-167.8187168922896,1246.521483225427,87.24543849323132,-1718.1636256621541,-422.13502060035313,-357.5137307062822,0
39.34078869923484,63.53266627427899,-97.85756327251323,1296.395526780459,-168.8816951147734,1245.1000588581517,87.0335491465568,-1718.0223660977047,-423.2069452619188,-353.7658053114771,0
39.29370217775162,63.64214243672748,-97.70453207769276,1296.423778693349,-169.94467333725723,1243.678634490877,86.82165979988228,-1717.8811065332548,-424.2788699234844,-350.1546709887778,0
39.24661565626839,63.751618599175984,-97.55150088287229,1296.4520306062388,-171.00765155974102,1242.2572101236021,86.60977045320777,-1717.739846968805,-425.35079458505004,-345.70978418562055,0
39.199529134785166,63.861094761624486,-97.3984696880518,1296.4802825191289,-172.07062978222484,1240.8357857563274,86.39788110653325,-1717.5985874043556,-426.4227192466156,-341.9889230144097,0
39.15244261330194,63.97057092407298,-97.24543849323132,1296.5085344320187,-173.13360800470866,1239.4143613890524,86.18599175985875,-1717.4573278399057,-427.4946439081812,-338.2962291767695,0
39.10535609181871,64.08004708652147,-97.09240729841083,1296.5367863449087,-174.19658622719248,1237.9929370217774,85.97410241318423,-1717.3160682754562,-428.5665685697469,-333.99048271458815,0
39.05826957033549,64.18952324896998,-96.93937610359035,1296.5650382577987,-175.2595644496763,1236.5715126545026,85.76221306650972,-1717.1748087110063,-429.6384932313125,-330.2363463238855,0
39.01118304885227,64.29899941141848,-96.78634490876986,1296.5932901706888,-176.3225426721601,1235.1500882872278,85.5503237198352,-1717.0335491465567,-430.7104178928781,-326.75837163344994,0
38.96409652736904,64.40847557386698,-96.63331371394938,1296.6215420835786,-177.38552089464392,1233.7286639199529,85.33843437316068,-1716.8922895821072,-431.78234255444374,-322.56823766311425,0
38.917010005885814,64.51795173631548,-96.4802825191289,1296.6497939964686,-178.44849911712774,1232.307239552678,85.12654502648617,-1716.7510300176573,-432.85426721600936,-318.91725345411413,0
38.86992348440259,64.62742789876398,-96.32725132430842,1296.6780459093584,-179.51147733961156,1230.8858151854033,84.91465567981166,-1716.6097704532078,-433.926191877575,-314.88796510856906,0
38.82283696291936,64.73690406121247,-96.17422012948794,1296.7062978222484,-180.57445556209535,1229.4643908181283,84.70276633313715,-1716.4685108887581,-434.99811653914065,-311.04893419833456,0
38.77575044143614,64.84638022366097,-96.02118893466745,1296.7345497351384,-181.63743378457917,1228.0429664508533,84.49087698646262,-1716.3272513243082,-436.07004120070627,-307.1067450194036,0
38.728663919952915,64.95585638610947,-95.86815773984696,1296.7628016480282,-182.700412007063,1226.6215420835786,84.27898763978811,-1716.1859917598588,-437.1419658622719,-303.69570487734876,0
38.681577398469685,65.06533254855798,-95.71512654502648,1296.7910535609183,-183.7633902295468,1225.2001177163038,84.0670982931136,-1716.0447321954089,-438.2138905238375,-299.52592221707505,0
38.63449087698646,65.17480871100648,-95.56209535020601,1296.819305473808,-184.8263684520306,1223.778693349029,83.85520894643908,-1715.9034726309594,-439.2858151854031,-295.7410369483939,0
38.58740435550324,65.28428487345496,-95.40906415538552,1296.847557386698,-185.88934667451443,1222.3572689817538,83.64331959976457,-1715.7622130665097,-440.3577398469688,-291.4579656776867,0
38.54031783402001,65.39376103590347,-95.25603296056504,1296.875809299588,-186.95232489699825,1220.935844614479,83.43143025309006,-1715.6209535020598,-441.4296645085344,-287.97436092936175,0
