1002
V1,V2,V3,V4,Class
Continuous,Continuous,Continuous,Continuous,Nominal
15.0,-3.0,-5.75,-76.48473158548893,0
14.94,-2.988,-5.727,-75.78589033154272,0
14.879999999999999,-2.976,-5.704,-75.50834428917038,0
14.82,-2.964,-5.681,-75.19232256556704,0
14.76,-2.952,-5.6579999999999995,-74.65197270922229,0
14.7,-2.94,-5.635,-74.68364938531158,0
14.64,-2.928,-5.612,-73.92044498608277,0
14.58,-2.916,-5.5889999999999995,-73.72525749402834,0
14.52,-2.904,-5.566,-73.8601116912317,0
14.459999999999999,-2.892,-5.543,-73.46459401399973,0
14.399999999999999,-2.88,-5.52,-73.46361089241539,0
14.34,-2.868,-5.497,-72.69917007624106,0
14.28,-2.856,-5.474,-72.22792997061487,0
14.219999999999999,-2.844,-5.451,-72.14667341287989,0
14.16,-2.832,-5.428,-72.09425333500441,0
14.1,-2.82,-5.404999999999999,-72.28393481601815,0
14.04,-2.808,-5.382,-71.22929188951227,0
13.979999999999999,-2.796,-5.359,-70.78684143709572,0
13.919999999999998,-2.784,-5.335999999999999,-70.68949715789694,0
13.860000000000001,-2.7720000000000002,-5.313000000000001,-70.3843235496144,0
13.8,-2.7600000000000002,-5.29,-70.23766920267443,0
13.74,-2.748,-5.267,-69.41988776892812,0
13.68,-2.736,-5.244,-70.06812534800503,0
13.620000000000001,-2.724,-5.221,-68.9600016205156,0
13.56,-2.712,-5.198,-68.85412134078202,0
13.5,-2.7,-5.175,-68.77986795822252,0
13.44,-2.688,-5.152,-68.65238862226006,0
13.38,-2.676,-5.1290000000000004,-67.67246318749858,0
13.32,-2.664,-5.106,-67.77300693591958,0
13.26,-2.652,-5.083,-67.61794809681692,0
13.2,-2.64,-5.06,-67.14252247934648,0
13.14,-2.628,-5.037,-65.9623513823742,0
13.08,-2.616,-5.014,-66.08518801605304,0
13.02,-2.604,-4.991,-66.50613236314322,0
12.959999999999999,-2.592,-4.968,-65.74859914538993,0
12.9,-2.58,-4.945,-65.7329374306438,0
12.84,-2.568,-4.922,-65.28475956208769,0
12.78,-2.556,-4.899,-65.34219645876856,0
12.719999999999999,-2.544,-4.8759999999999994,-64.39554930504582,0
12.66,-2.532,-4.853,-63.856339865927175,0
12.6,-2.52,-4.83,-64.3450216176651,0
12.54,-2.508,-4.8069999999999995,-63.13509273587915,0
12.479999999999999,-2.496,-4.784,-63.665052952389736,0
12.42,-2.484,-4.761,-62.95736299926057,0
12.360000000000001,-2.4720000000000004,-4.738,-63.16103606182676,0
12.3,-2.46,-4.715000000000001,-62.711137962736764,0
12.24,-2.4480000000000004,-4.692,-61.63643653861191,0
12.180000000000001,-2.436,-4.6690000000000005,-61.83454703123626,0
12.120000000000001,-2.4240000000000004,-4.646,-61.56075529305763,0
12.06,-2.412,-4.623,-60.945646072157864,0
12.0,-2.4000000000000004,-4.6000000000000005,-60.744550923288095,0
11.940000000000001,-2.388,-4.577,-60.4988945577687,0
11.88,-2.3760000000000003,-4.554,-60.64673669114175,0
11.82,-2.364,-4.531000000000001,-59.06502924138127,0
11.76,-2.3520000000000003,-4.508,-60.05168014019735,0
11.700000000000001,-2.34,-4.485,-59.10100205660758,0
11.64,-2.3280000000000003,-4.462,-58.26591582409295,0
11.58,-2.316,-4.439,-58.82322999419588,0
11.52,-2.3040000000000003,-4.416,-58.45724733414346,0
11.46,-2.292,-4.393,-58.44842342863645,0
11.4,-2.2800000000000002,-4.37,-58.06726502082954,0
11.34,-2.268,-4.347,-57.211923470195465,0
11.28,-2.2560000000000002,-4.324,-56.66613859716579,0
11.22,-2.2439999999999998,-4.301,-57.210553360418764,0
11.16,-2.232,-4.278,-56.18506966972724,0
11.1,-2.2199999999999998,-4.255,-56.6757671198932,0
11.04,-2.208,-4.232,-56.152702692716204,0
10.98,-2.1959999999999997,-4.209,-55.977832305707516,0
10.92,-2.184,-4.186,-54.41411999862453,0
10.86,-2.1719999999999997,-4.163,-55.20205765631852,0
10.799999999999999,-2.16,-4.14,-54.706978584877035,0
10.74,-2.1479999999999997,-4.117,-54.417164841721984,0
10.68,-2.136,-4.093999999999999,-54.16430978004549,0
10.62,-2.1239999999999997,-4.071,-53.87826837302536,0
10.559999999999999,-2.112,-4.048,-53.54643605980452,0
10.5,-2.0999999999999996,-4.0249999999999995,-53.89494208508979,0
10.44,-2.088,-4.002,-53.33311420765833,0
10.379999999999999,-2.0759999999999996,-3.9789999999999996,-53.14579630937987,0
10.319999999999999,-2.064,-3.9559999999999995,-52.306924958737845,0
10.26,-2.0519999999999996,-3.933,-52.57922887641207,0
10.2,-2.04,-3.9099999999999997,-52.147962086229846,0
10.139999999999999,-2.0279999999999996,-3.8869999999999996,-51.34294599148956,0
10.079999999999998,-2.016,-3.8639999999999994,-51.50890007710964,0
10.02,-2.0039999999999996,-3.8409999999999997,-50.97332112983913,0
9.959999999999999,-1.9919999999999998,-3.8179999999999996,-50.820978114238564,0
9.899999999999999,-1.9799999999999998,-3.7949999999999995,-50.51246001079992,0
9.839999999999998,-1.9679999999999997,-3.7719999999999994,-49.35619934019818,0
9.78,-1.9559999999999997,-3.7489999999999997,-49.54760168487317,0
9.72,-1.944,-3.726,-49.205780850535994,0
9.66,-1.932,-3.7030000000000003,-48.847621602137664,0
9.6,-1.92,-3.68,-48.26785593674989,0
9.540000000000001,-1.908,-3.657,-48.52336982607377,0
9.48,-1.896,-3.634,-47.60276810232691,0
9.42,-1.884,-3.611,-47.756181696888916,0
9.36,-1.8719999999999999,-3.588,-47.113130171405295,0
9.3,-1.8599999999999999,-3.565,-47.37456460839103,0
9.24,-1.8479999999999999,-3.542,-46.5498388250114,0
9.18,-1.8359999999999999,-3.519,-46.12047538946305,0
9.12,-1.8239999999999998,-3.496,-46.233402804095036,0
9.06,-1.8119999999999998,-3.473,-45.23594429234254,0
9.0,-1.7999999999999998,-3.4499999999999997,-45.38293921383666,0
8.94,-1.7879999999999998,-3.427,-45.11863558560143,0
8.879999999999999,-1.7759999999999998,-3.404,-45.145906191106484,0
8.82,-1.7639999999999998,-3.381,-44.78565121090171,0
8.76,-1.7519999999999998,-3.3579999999999997,-44.03377922192638,0
8.700000000000001,-1.7400000000000002,-3.3350000000000004,-44.661185446307385,0
8.64,-1.7280000000000002,-3.3120000000000003,-43.828593396447076,0
8.580000000000002,-1.7160000000000002,-3.2890000000000006,-42.810900197996574,0
8.520000000000001,-1.7040000000000002,-3.2660000000000005,-42.965782610300764,0
8.46,-1.6920000000000002,-3.2430000000000003,-42.88566391293009,0
8.4,-1.6800000000000002,-3.22,-42.37825117897815,0
8.34,-1.6680000000000001,-3.197,-41.69577369303266,0
8.280000000000001,-1.6560000000000001,-3.1740000000000004,-42.45623830687471,0
8.22,-1.6440000000000001,-3.1510000000000002,-41.92758118898168,0
8.16,-1.6320000000000001,-3.128,-41.9986767341308,0
8.100000000000001,-1.62,-3.1050000000000004,-40.75551760108444,0
8.040000000000001,-1.608,-3.0820000000000003,-40.907356745559845,0
7.98,-1.596,-3.059,-40.53937558328079,0
7.92,-1.584,-3.036,-39.752293227172835,0
7.86,-1.572,-3.013,-39.85587229312772,0
7.800000000000001,-1.56,-2.99,-38.989150601097,0
7.74,-1.548,-2.967,-39.04693704014098,0
7.68,-1.536,-2.944,-39.126508852101914,0
7.62,-1.524,-2.9210000000000003,-38.297611157318364,0
7.5600000000000005,-1.512,-2.898,-38.68853029959759,0
7.5,-1.5,-2.875,-38.28402754911038,0
7.4399999999999995,-1.488,-2.852,-37.67554444673642,0
7.38,-1.476,-2.8289999999999997,-37.540171872996844,0
7.32,-1.464,-2.806,-37.3451773982397,0
7.26,-1.452,-2.783,-36.638114465328066,0
7.199999999999999,-1.44,-2.76,-36.29764451854329,0
7.14,-1.428,-2.737,-35.82974944890359,0
7.08,-1.416,-2.714,-36.47608302492822,0
7.02,-1.404,-2.691,-35.46364930031736,0
6.959999999999999,-1.392,-2.6679999999999997,-33.970017362442114,0
6.8999999999999995,-1.38,-2.6449999999999996,-34.80072747816011,0
6.84,-1.3679999999999999,-2.622,-34.49320351330939,0
6.779999999999999,-1.3559999999999999,-2.5989999999999998,-34.107364351876875,0
6.719999999999999,-1.3439999999999999,-2.5759999999999996,-33.85571740747759,0
6.659999999999999,-1.3319999999999999,-2.553,-33.10595450467265,0
6.6,-1.3199999999999998,-2.53,-33.500806032377476,0
6.539999999999999,-1.3079999999999998,-2.5069999999999997,-32.88671050272594,0
6.479999999999999,-1.2959999999999998,-2.4839999999999995,-33.01027040755078,0
6.419999999999999,-1.2839999999999998,-2.4609999999999994,-32.404699224166386,0
6.359999999999999,-1.2719999999999998,-2.4379999999999997,-31.42401713585421,0
6.300000000000001,-1.2600000000000002,-2.415,-31.503978971838396,0
6.24,-1.2480000000000002,-2.3920000000000003,-31.20878894424332,0
6.180000000000001,-1.2360000000000002,-2.369,-31.501257973213928,0
6.12,-1.2240000000000002,-2.346,-31.06954703716798,0
6.0600000000000005,-1.2120000000000002,-2.323,-30.54224047562945,0
6.0,-1.2000000000000002,-2.3000000000000003,-29.901596676886744,0
5.94,-1.1880000000000002,-2.277,-30.271615469488854,0
5.88,-1.1760000000000002,-2.254,-29.256471080700646,0
