700
V1,V2,Class
Continuous,Continuous,Nominal
-70.0,-139.52689776342478,0
-69.59885386819484,-138.6688145571216,0
-69.19770773638969,-138.4627583415621,0
-68.79656160458453,-138.0734840939444,0
-68.39541547277938,-136.1710430681263,0
-67.99426934097421,-135.25047606122115,0
-67.59312320916905,-134.90323335751535,0
-67.1919770773639,-134.24130915236105,0
-66.79083094555874,-132.87034534892936,0
-66.38968481375358,-132.77286078328265,0
-65.98853868194843,-132.05252121309667,0
-65.58739255014326,-130.6139021290174,0
-65.18624641833811,-129.93987359496987,0
-64.78510028653295,-129.66013820904902,0
-64.3839541547278,-129.06967294059856,0
-63.98280802292263,-127.93710736529272,0
-63.58166189111748,-126.89361806602396,0
-63.18051575931232,-126.54112570326384,0
-62.779369627507165,-125.41601348526852,0
-62.378223495702,-124.40106092085131,0
-61.977077363896846,-123.60359215651765,0
-61.57593123209169,-122.50314159485576,0
-61.174785100286535,-121.9129516659744,0
-60.77363896848138,-120.5046418419736,0
-60.37249283667622,-120.21975904544017,0
-59.97134670487107,-119.11342183018056,0
-59.5702005730659,-118.53331692933939,0
-59.16905444126074,-117.80696970042412,0
-58.767908309455585,-117.31299973876828,0
-58.36676217765043,-116.55871047389364,0
-57.96561604584527,-115.71898229124085,0
-57.56446991404012,-114.30026928056127,0
-57.16332378223496,-113.85402492742685,0
-56.762177650429805,-113.07080368152742,0
-56.361031518624635,-112.36393563257825,0
-55.95988538681948,-111.5974800938364,0
-55.55873925501432,-110.284538083583,0
-55.15759312320917,-109.93083890775269,0
-54.75644699140401,-109.1876796433885,0
-54.355300859598856,-108.31013241089016,0
-53.9541547277937,-108.31199439698294,0
-53.553008595988544,-106.33529245722886,0
-53.15186246418338,-105.39478279120932,0
-52.750716332378225,-104.56900217811227,0
-52.34957020057307,-104.8550365499828,0
-51.94842406876791,-102.77035813004647,0
-51.54727793696276,-102.87639114298439,0
-51.146131805157594,-101.74742452515024,0
-50.74498567335244,-101.43119345567827,0
-50.343839541547275,-101.24844676003514,0
-49.94269340974212,-99.76222979312986,0
-49.541547277936964,-98.33187608263019,0
-49.1404011461318,-97.75667691630822,0
-48.739255014326645,-96.15260317958972,0
-48.33810888252149,-96.53524289940724,0
-47.93696275071633,-95.48218035754724,0
-47.53581661891117,-94.7349170143141,0
-47.134670487106014,-93.34435973255295,0
-46.73352435530086,-92.7021696240578,0
